time,open,high,low,close
1999-06-30,5893,5948,5868,5925
1999-07-01,5925.5,5956.5,5894.5,5947
1999-07-06,5983,6009.5,5976,5995.5
1999-07-07,5964.5,5967,5940.5,5951.5
1999-07-08,5967.5,6004.5,5950,5987.5
1999-07-09,5994.5,6005,5983.5,5997.5
1999-07-12,6022.5,6036.5,5988.5,6021.5
1999-07-13,5993.5,5998.5,5972,5981.5
1999-07-14,5997,6026,5981.5,6023.5
1999-07-15,6033.5,6053,6028,6047.5
1999-07-16,6047.5,6088.5,6046,6083.5
1999-07-19,6075,6088.5,6041.5,6049
1999-07-20,6001.5,6005.5,5958,5969
1999-07-21,5956,5987,5941.5,5952.5
1999-07-22,5915.5,5924,5898.5,5911.5
1999-07-23,5924.5,5932.5,5883,5902.5
1999-07-26,5880.5,5901.5,5865,5867.5
1999-07-27,5875.5,5928,5873.5,5925
1999-07-28,5919,5952.5,5891.5,5934
1999-07-29,5925.5,5928.5,5868.5,5884
1999-07-30,5903.5,5926.5,5881.5,5893.5
1999-08-02,5866,5924.5,5860,5910
1999-08-03,5881.5,5902,5823.5,5861
1999-08-04,5861.5,5873,5832.5,5846.5
1999-08-05,5806.5,5841,5764,5825.5
1999-08-06,5850.5,5873,5814.5,5824
1999-08-09,5835.5,5843.5,5805.5,5826.5
1999-08-10,5741.5,5766.5,5731.5,5758.5
1999-08-11,5796.5,5829.5,5784,5826
1999-08-12,5848,5872,5833.5,5837.5
1999-08-13,5817,5902,5813.5,5897
1999-08-16,5917.5,5947.5,5906.5,5912.5
1999-08-17,5929.5,5958.5,5888.5,5934
1999-08-18,5949.5,5963,5919.5,5923
1999-08-19,5921.5,5926,5877.5,5901.5
1999-08-20,5895,5913,5882,5907.5
1999-08-23,5936.5,5971.5,5935,5962.5
1999-08-24,5987.5,6044,5979,6004.5
1999-08-25,6014.5,6076,6006,6070
1999-08-26,6069.5,6077,6024.5,6027.5
1999-08-27,6024.5,6048.5,5999,6004.5
1999-08-30,6004.5,6020.5,5962.5,5973.5
1999-08-31,5978.5,6008.5,5932,5995
1999-09-01,5994.5,6031.5,5988.5,6014
1999-09-02,6013,6016,5961.5,6001
1999-09-03,6003,6112.5,5995.5,6112.5
1999-09-07,6130.5,6130.5,6096.5,6102
1999-09-08,6099.5,6108,6055.5,6068.5
1999-09-09,6064.5,6106.5,6053.5,6105.5
1999-09-10,6104.5,6163.5,6101.5,6136.5
1999-09-13,6139.5,6149.5,6087,6095
1999-09-14,6098.5,6130.5,6079,6114.5
1999-09-15,6113.5,6149,6060.5,6063.5
1999-09-16,6062.5,6082.5,6012,6063.5
1999-09-17,6066.5,6143.5,6062,6138
1999-09-20,6154.5,6157.5,6120.5,6139.5
1999-09-21,6147.5,6147.5,6072.5,6079.5
1999-09-22,6079.5,6118,6052.5,6107.5
1999-09-23,6106.5,6136.5,5985,6003.5
1999-09-24,6002.5,6009,5944.5,5995.5
1999-09-27,5996.5,6056,5996.5,6021
1999-09-28,6020.5,6039.5,5955.5,6032.5
1999-09-29,6033.5,6046,5984.5,5986.5
1999-09-30,5986.5,6032,5974.5,6009
1999-10-01,6006,6009.5,5949,6001
1999-10-04,6001,6069,5994,6068
1999-10-05,6065.5,6105,6027.5,6077.5
1999-10-06,6074,6128.5,6070.5,6125
1999-10-07,6125,6168.5,6102.5,6121.5
1999-10-08,6119.5,6149.5,6074.5,6147.5
1999-10-11,6147.5,6181,6137.5,6177.5
1999-10-12,6178.5,6186.5,6115,6125.5
1999-10-13,6101.5,6124,6035,6043.5
1999-10-14,6055.5,6077.5,6014.5,6061.5
1999-10-15,6064.5,6068,5974.5,5985.5
1999-10-18,5976,6006.5,5888,5950.5
1999-10-19,5950,5993.5,5929,5954.5
1999-10-20,5965.5,6061.5,5965.5,6042
1999-10-21,6040,6083.5,5982.5,6082.5
1999-10-22,6080.5,6116.5,6062.5,6066
1999-10-25,6067,6097.5,6039.5,6070.5
1999-10-26,6069,6114.5,6045.5,6045.5
1999-10-27,6044.5,6058.5,6007.5,6047.5
1999-10-28,6047.5,6134,6026.5,6131.5
1999-10-29,6129.5,6241.5,6120.5,6225
1999-11-01,6219.5,6252,6202.5,6208.5
1999-11-02,6202.5,6254,6196,6212.5
1999-11-03,6210.5,6275,6209.5,6264.5
1999-11-04,6263,6301.5,6261.5,6292.5
1999-11-05,6292.5,6353.5,6279.5,6353.5
1999-11-08,6320,6379.5,6310,6377.5
1999-11-09,6374.5,6417,6322.5,6354.5
1999-11-10,6355.5,6408.5,6339.5,6388
1999-11-11,6380,6438.5,6380,6436
1999-11-12,6433.5,6479.5,6371.5,6474.5
1999-11-15,6478,6487.5,6453,6468
1999-11-16,6461.5,6553.5,6458.5,6545.5
1999-11-17,6489.5,6554.5,6489.5,6500.5
1999-11-18,6499,6590.5,6493,6587.5
1999-11-19,6584.5,6618.5,6562,6613
1999-11-22,6621.5,6639,6588.5,6635
1999-11-23,6635.5,6647.5,6552,6582.5
1999-11-24,6580.5,6692.5,6559.5,6688.5
1999-11-26,6689,6734.5,6682,6690.5
1999-11-29,6693.5,6712,6636.5,6637.5
1999-11-30,6640.5,6648.5,6537.5,6541.5
1999-12-01,6540.5,6599.5,6531,6583
1999-12-02,6585,6684.5,6580,6680.5
1999-12-03,6679.5,6788,6663.5,6743.5
1999-12-06,6744,6798.5,6726.5,6772.5
1999-12-07,6769.5,6796.5,6730,6779
1999-12-08,6774.5,6797.5,6729.5,6735
1999-12-09,6731.5,6793,6674.5,6738.5
1999-12-10,6729.5,6789.5,6700.5,6776.5
1999-12-13,6782.5,6846.5,6745.5,6816.5
1999-12-14,6811,6850,6736.5,6750.5
1999-12-15,6752,6813,6695,6806.5
1999-12-16,6808,6909,6802,6908
1999-12-17,6909,6984.5,6905,6939.5
1999-12-20,6965,6965,6965,6965
1999-12-21,6965,7123.5,6957.5,7118
1999-12-22,7120,7152,7075.5,7144.5
1999-12-23,7139.5,7208,7125.5,7162
1999-12-27,7161.5,7204.5,7092,7167
1999-12-28,7161,7200,7122,7148
1999-12-29,7147.5,7274,7137.5,7270.5
1999-12-30,7270.5,7330.5,7246,7261
1999-12-31,7254.5,7298,7248.5,7280
2000-01-03,7276,7421,7207,7363.5
2000-01-04,7364.5,7368.5,7051,7085.5
2000-01-05,7083.5,7144,6921,7034
2000-01-06,7019,7079,6808.5,6841.5
2000-01-07,6810.5,7100.5,6783,7088
2000-01-10,7087,7330.5,7080.5,7292
2000-01-11,7291,7292,7068,7108
2000-01-12,7102,7141,7002,7034
2000-01-13,7034,7177,7028,7170
2000-01-14,7186,7311,7171,7278.5
2000-01-18,7269,7345.5,7195.5,7326
2000-01-19,7326.5,7376.5,7267,7370.5
2000-01-20,7373,7439,7337,7406
2000-01-21,7396,7440,7350,7419
2000-01-24,7417.5,7464,7201.5,7207
2000-01-25,7201,7323,7132.5,7314.5
2000-01-26,7301,7313.5,7163.5,7180.5
2000-01-27,7154.5,7260,7052,7162
2000-01-28,7166.5,7211,6935,7001
2000-01-31,6988,7146,6897,7138.5
2000-02-01,7132.5,7261,7090,7249.5
2000-02-02,7245.5,7342,7218,7260
2000-02-03,7260,7418.5,7239,7418.5
2000-02-04,7414,7486,7387,7432.5
2000-02-07,7432.5,7484.5,7401.5,7483
2000-02-08,7470.5,7624.5,7468,7621
2000-02-09,7626,7670,7502.5,7502.5
2000-02-10,7497,7642,7494,7638
2000-02-11,7635,7666,7476,7518.5
2000-02-14,7509.5,7554,7460,7529.5
2000-02-15,7525.5,7576,7387,7562.5
2000-02-16,7560.5,7613,7521,7546.5
2000-02-17,7552,7672,7537,7632.5
2000-02-18,7636,7667,7488.5,7494
2000-02-22,7480.5,7544,7391.5,7493.5
2000-02-23,7503,7744,7488,7713.5
2000-02-24,7715.5,7818.5,7632.5,7818.5
2000-02-25,7809.5,7842,7656,7720
2000-02-28,7708.5,7769,7555,7684
2000-02-29,7690.5,7827,7684.5,7827
2000-03-01,7824,7879,7799,7851.5
2000-03-02,7851,7864,7730,7751
2000-03-03,7756,7984,7736,7980.5
2000-03-06,7973,8067,7957,8023.5
2000-03-07,8009.5,8096.5,7887,7918.5
2000-03-08,7913.5,7991,7798,7983.5
2000-03-09,7983,8141,7902.5,8134
2000-03-10,8126,8194,8081,8131
2000-03-13,8116,8123,7946.5,7990
2000-03-14,7978,8071.5,7749.5,7767.5
2000-03-15,7766,7824.5,7613,7631.5
2000-03-16,7639.5,7900,7575.5,7882
2000-03-17,7883,7994.5,7840.5,7984
2000-03-20,7975,7996.5,7783,7820
2000-03-21,7815.5,7997,7682.5,7985.5
2000-03-22,7977.5,8176.5,7959.5,8087.5
2000-03-23,8092.5,8242.5,8043.5,8200
2000-03-24,8197.5,8351.5,8133.5,8271.5
2000-03-27,8254.5,8317.5,8218.5,8229.5
2000-03-28,8228.5,8305,8117.5,8130
2000-03-29,8127.5,8145.5,7923.5,7936.5
2000-03-30,7938.5,8025.5,7679,7795
2000-03-31,7795.5,7953.5,7713,7925
2000-04-03,7884.5,7884.5,7556,7602.5
2000-04-04,7595.5,7679.5,7205.84,7533.5
2000-04-05,7547.5,7681,7396.5,7527.5
2000-04-06,7522.5,7687.5,7487,7612.5
2000-04-07,7612,7811,7602.5,7804.5
2000-04-10,7499.16,7499.16,7171.5,7171.5
2000-04-11,7493.5,7568,7353.5,7419.5
2000-04-12,7422,7490.16,7120.5,7162.5
2000-04-13,7231.5,7351.5,7029.5,7049
2000-04-14,7012.66,7012.66,6615.5,6685
2000-04-17,6717.34,7057.5,6717.34,7045
2000-04-18,7051.5,7219.5,6956.5,7217.5
2000-04-19,7202,7248.5,7072,7090
2000-04-20,7097.5,7137.5,6952.5,7002.5
2000-04-24,6956,6956,6690.5,6884.5
2000-04-25,6884,7122.5,6866.5,7112.5
2000-04-26,7117.5,7201.5,6987.5,6995
2000-04-27,6995,7201,6885,7152.5
2000-04-28,7162,7294,7147.5,7277.5
2000-05-01,7275,7377.5,7273.5,7334.5
2000-05-02,7333.5,7354.5,7103.5,7111
2000-05-03,7106,7125.5,6919.5,7052.5
2000-05-04,7051,7119.5,7002.5,7057
2000-05-05,7052.5,7207.5,6995,7162.5
2000-05-08,7149.5,7160.5,6980,7019
2000-05-09,7014.5,7066.5,6888,6920
2000-05-10,6915.5,6953,6713,6720
2000-05-11,6717.5,6875.5,6661.5,6853
2000-05-12,6870,7007.5,6858.5,6885
2000-05-15,6877.5,7032.5,6795,7027
2000-05-16,7022.5,7151,7014.5,7137.5
2000-05-17,7137,7141,7006,7055
2000-05-18,7056.5,7072.5,6907.5,6927.5
2000-05-19,6925,6942.5,6733.5,6747.5
2000-05-22,6743.5,6797.5,6525.5,6765
2000-05-23,6752,6807.66,6476,6480
2000-05-24,6482.5,6680.5,6370,6635
