time,open,high,low,close
1997-09-09,1756,1763.5,1755,1756.25
1997-09-10,1756,1756.5,1736.75,1737.5
1997-09-11,1738.25,1739.75,1722.75,1730.75
1997-09-12,1730.25,1748.5,1726.25,1746.25
1997-09-15,1746,1752.25,1741.5,1744
1997-09-16,1743.75,1772.5,1742.75,1768.5
1997-09-17,1768.5,1775,1764,1768.5
1997-09-18,1768.25,1783,1767.25,1770.25
1997-09-19,1770.25,1775.75,1765.5,1773
1997-09-22,1772.75,1784.5,1772.75,1778.75
1997-09-23,1777.75,1779.75,1769,1774.5
1997-09-24,1774,1783,1764.5,1767
1997-09-25,1766.25,1770,1758,1759
1997-09-26,1758.75,1769,1758.75,1765.75
1997-09-29,1765.75,1777,1762.75,1774.25
1997-09-30,1773.5,1777.75,1765.25,1767
1997-10-01,1768,1779,1767,1776
1997-10-02,1775.75,1782,1773.5,1781.5
1997-10-03,1781.75,1798,1774.25,1788
1997-10-06,1789.25,1796.25,1789,1794
1997-10-07,1794,1804.75,1790,1802
1997-10-08,1802,1804.25,1787.25,1794.75
1997-10-09,1794.75,1795.75,1781.75,1790.5
1997-10-10,1791.25,1793.5,1776.5,1789.25
1997-10-13,1789.25,1794.25,1786.5,1788.75
1997-10-14,1788.75,1794,1781,1790
1997-10-15,1788.25,1789.25,1780.5,1786
1997-10-16,1786,1793.75,1767.75,1772.25
1997-10-17,1771.5,1772.5,1748,1761.25
1997-10-20,1776,1776,1774.75,1774.75
1997-10-21,1776.75,1793,1776.75,1792
1997-10-22,1791.5,1793,1783,1786.75
1997-10-23,1785.5,1786.75,1760,1768
1997-10-24,1768.5,1781.5,1754,1756.5
1997-10-27,1755,1756.5,1686.5,1686.5
1997-10-28,1674.5,1745.5,1656.5,1737
1997-10-29,1737,1754.5,1728.75,1737
1997-10-30,1737,1741,1714.5,1715.5
1997-10-31,1714.5,1738.75,1702.25,1736.5
1997-11-03,1736.25,1760.5,1733.75,1758.25
1997-11-04,1758.5,1759.25,1748.75,1758.25
1997-11-05,1754,1768.5,1750.75,1759.5
1997-11-06,1759,1760,1749.75,1754.75
1997-11-07,1754.75,1755.5,1729,1743.75
1997-11-10,1742.5,1753,1735.25,1738.75
1997-11-11,1738.5,1742.25,1736.75,1739
1997-11-12,1739,1742,1718,1720.75
1997-11-13,1719.5,1735,1715,1731.75
1997-11-14,1732.5,1745,1732.5,1745
1997-11-17,1744.5,1767,1744.5,1762.5
1997-11-18,1762.5,1767,1752.5,1755
1997-11-19,1754.75,1764,1748.75,1760.25
1997-11-20,1760.5,1778,1759.5,1775.5
1997-11-21,1775,1783.5,1770,1782
